,Urango FUR,heat FUR,tuyz FUR,adverso FUR,Palla FUR
lz 2G,,,0 1 -1,1 1 +0,1 1 +0
silentzz 2G,2 0 +2,,,,
spike 2G,2 0 +2,1 1 +0,2 0 +2,2 1 +1,2 1 +1
pryze 2G,1 0 +1,0 1 -1,,1 0 +1,1 0 +1
gobera 2G,,1 0 +1,,1 0 +1,0 1 -1
