,Urango FUR,heat FUR,tuyz FUR,adverso FUR,Palla FUR
lz 2G,2 1 +1,3 3 +0,1 3 -2,3 1 +2,1 2 -1
silentzz 2G,4 2 +2,5 0 +5,4 0 +4,3 3 +0,3 0 +3
spike 2G,4 2 +2,2 2 +0,3 1 +2,2 5 -3,3 1 +2
pryze 2G,2 2 +0,2 2 +0,2 1 +1,3 0 +3,5 2 +3
gobera 2G,3 1 +2,3 4 -1,4 1 +3,4 1 +3,3 1 +2
