,Urango FUR,heat FUR,tuyz FUR,adverso FUR,Palla FUR
lz 2G,0 4 -4,4 0 +4,1 4 -3,3 2 +1,0 2 -2
silentzz 2G,3 1 +2,2 3 -1,2 2 +0,1 3 -2,0 2 -2
spike 2G,3 2 +1,1 1 +0,3 2 +1,2 2 +0,4 3 +1
pryze 2G,3 5 -2,1 0 +1,4 0 +4,2 2 +0,4 2 +2
gobera 2G,3 1 +2,5 5 +0,2 0 +2,6 0 +6,5 2 +3
