,Urango FUR,heat FUR,tuyz FUR,adverso FUR,Palla FUR
lz 2G,3 0 +3,2 4 -2,1 4 -3,2 5 -3,3 5 -2
silentzz 2G,8 3 +5,4 1 +3,3 4 -1,6 1 +5,5 4 +1
spike 2G,3 4 -1,2 5 -3,6 3 +3,4 7 -3,7 6 +1
pryze 2G,3 5 -2,2 5 -3,4 3 +1,5 4 +1,6 4 +2
gobera 2G,1 2 -1,7 3 +4,1 3 -2,4 4 +0,2 5 -3
