,Urango FUR,heat FUR,tuyz FUR,adverso FUR,Palla FUR
lz 2G,,,0 4 -4,1 1 +0,1 2 -1
silentzz 2G,3 1 +2,1 0 +1,3 1 +2,0 1 -1,1 1 +0
spike 2G,3 0 +3,2 1 +1,3 0 +3,2 3 -1,4 3 +1
pryze 2G,1 0 +1,0 1 -1,,1 0 +1,5 1 +4
gobera 2G,1 0 +1,2 0 +2,,1 0 +1,0 2 -2
