,kaajak FNC,crashies FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
batujnax APK,1 1 +0,,,1 0 +1,1 0 +1
penny APK,3 0 +3,2 2 +0,0 1 -1,2 0 +2,2 0 +2
OLIZERA APK,,1 0 +1,,,
AvovA APK,,1 0 +1,0 1 -1,,
MOLSI APK,0 2 -2,0 1 -1,,,1 0 +1
