,kaajak FNC,crashies FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
batujnax APK,0 1 -1,,,,
penny APK,2 0 +2,2 0 +2,,,2 0 +2
OLIZERA APK,0 1 -1,,,,
AvovA APK,,,0 1 -1,,
MOLSI APK,0 1 -1,,,,
