,kaajak FNC,crashies FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
batujnax APK,1 3 -2,2 2 +0,1 4 -3,0 4 -4,2 4 -2
penny APK,4 4 +0,2 2 +0,1 3 -2,0 3 -3,0 3 -3
OLIZERA APK,2 6 -4,1 5 -4,1 2 -1,6 1 +5,2 0 +2
AvovA APK,1 6 -5,2 2 +0,3 5 -2,3 2 +1,2 2 +0
MOLSI APK,1 7 -6,2 5 -3,3 2 +1,1 1 +0,2 2 +0
