,kaajak FNC,crashies FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
batujnax APK,,,,,0 1 -1
penny APK,0 1 -1,,,,
OLIZERA APK,0 2 -2,,,,
AvovA APK,0 1 -1,,,,
MOLSI APK,,,,,
