,kaajak FNC,crashies FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
batujnax APK,5 5 +0,3 1 +2,3 6 -3,4 4 +0,2 1 +1
penny APK,4 2 +2,2 3 -1,1 6 -5,5 1 +4,3 3 +0
OLIZERA APK,3 8 -5,2 1 +1,3 2 +1,2 6 -4,2 2 +0
AvovA APK,3 3 +0,5 2 +3,2 4 -2,2 1 +1,3 4 -1
MOLSI APK,1 5 -4,1 5 -4,5 3 +2,1 4 -3,2 2 +0
