,kaajak FNC,crashies FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
batujnax APK,0 1 -1,,,,1 1 +0
penny APK,1 3 -2,,0 2 -2,0 2 -2,0 1 -1
OLIZERA APK,,,1 0 +1,,
AvovA APK,,,0 1 -1,,1 0 +1
MOLSI APK,0 1 -1,0 1 -1,,,1 0 +1
