,kaajak FNC,crashies FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
batujnax APK,6 8 -2,5 3 +2,4 10 -6,4 8 -4,4 5 -1
penny APK,8 6 +2,4 5 -1,2 9 -7,5 4 +1,3 6 -3
OLIZERA APK,5 14 -9,3 6 -3,4 4 +0,8 7 +1,4 2 +2
AvovA APK,4 9 -5,7 4 +3,5 9 -4,5 3 +2,5 6 -1
MOLSI APK,2 12 -10,3 10 -7,8 5 +3,2 5 -3,4 4 +0
