,kaajak FNC,crashies FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
batujnax APK,1 2 -1,,,1 0 +1,2 1 +1
penny APK,4 3 +1,2 2 +0,0 3 -3,2 2 +0,2 1 +1
OLIZERA APK,,1 0 +1,1 0 +1,,
AvovA APK,,1 0 +1,0 2 -2,,1 0 +1
MOLSI APK,0 3 -3,0 2 -2,,,2 0 +2
