,DH T1,iZu T1,BuZz T1,stax T1,Meteor T1
Shiro BME,2 1 +1,4 3 +1,5 6 -1,7 4 +3,2 4 -2
BerserX BME,1 5 -4,2 2 +0,1 1 +0,2 2 +0,5 7 -2
NcSlasher BME,2 2 +0,3 4 -1,2 5 -3,3 4 -1,6 0 +6
dos9 BME,5 2 +3,3 3 +0,2 3 -1,2 4 -2,1 2 -1
Famouz BME,4 1 +3,2 8 -6,2 6 -4,1 3 -2,0 2 -2
