,DH T1,iZu T1,BuZz T1,stax T1,Meteor T1
Shiro BME,3 3 +0,5 5 +0,7 9 -2,12 6 +6,3 11 -8
BerserX BME,5 7 -2,8 2 +6,3 4 -1,3 9 -6,10 10 +0
NcSlasher BME,7 6 +1,3 6 -3,6 8 -2,5 6 -1,9 2 +7
dos9 BME,11 5 +6,10 6 +4,5 3 +2,5 6 -1,3 9 -6
Famouz BME,5 8 -3,6 8 -2,5 10 -5,3 7 -4,5 5 +0
