,DH T1,iZu T1,BuZz T1,stax T1,Meteor T1
Shiro BME,1 2 -1,1 2 -1,2 3 -1,5 2 +3,1 7 -6
BerserX BME,4 2 +2,6 0 +6,2 3 -1,1 7 -6,5 3 +2
NcSlasher BME,5 4 +1,0 2 -2,4 3 +1,2 2 +0,3 2 +1
dos9 BME,6 3 +3,7 3 +4,3 0 +3,3 2 +1,2 7 -5
Famouz BME,1 7 -6,4 0 +4,3 4 -1,2 4 -2,5 3 +2
