,Jamppi BBL,PROFEK BBL,LewN BBL,MAGNUM BBL,sociablEE BBL
Veqaj M8,,1 0 +1,0 2 -2,0 1 -1,0 1 -1
kamyk M8,,,1 0 +1,,
Minny M8,,,0 1 -1,0 2 -2,0 1 -1
ComeBack M8,0 1 -1,,,,0 1 -1
Proxh M8,,0 2 -2,0 2 -2,,
