,Jamppi BBL,PROFEK BBL,LewN BBL,MAGNUM BBL,sociablEE BBL
Veqaj M8,3 7 -4,6 5 +1,4 7 -3,3 7 -4,7 9 -2
kamyk M8,1 7 -6,3 4 -1,5 6 -1,5 7 -2,5 4 +1
Minny M8,6 6 +0,4 12 -8,6 8 -2,1 5 -4,8 5 +3
ComeBack M8,9 8 +1,6 5 +1,10 6 +4,5 6 -1,7 4 +3
Proxh M8,2 6 -4,5 6 -1,3 9 -6,7 5 +2,2 9 -7
