,Jamppi BBL,PROFEK BBL,LewN BBL,MAGNUM BBL,sociablEE BBL
Veqaj M8,,0 1 -1,0 1 -1,,
kamyk M8,,,,1 0 +1,0 1 -1
Minny M8,1 0 +1,1 0 +1,0 2 -2,,1 0 +1
ComeBack M8,3 0 +3,0 1 -1,3 2 +1,0 1 -1,2 1 +1
Proxh M8,,,1 1 +0,1 0 +1,1 0 +1
