,Jamppi BBL,PROFEK BBL,LewN BBL,MAGNUM BBL,sociablEE BBL
Veqaj M8,,1 1 +0,0 3 -3,0 1 -1,0 1 -1
kamyk M8,,,1 0 +1,1 0 +1,0 1 -1
Minny M8,1 0 +1,1 0 +1,0 3 -3,0 2 -2,1 1 +0
ComeBack M8,3 1 +2,0 1 -1,3 2 +1,0 1 -1,2 2 +0
Proxh M8,,0 2 -2,1 3 -2,1 0 +1,1 0 +1
