,Jamppi BBL,PROFEK BBL,LewN BBL,MAGNUM BBL,sociablEE BBL
Veqaj M8,3 2 +1,4 4 +0,2 3 -1,2 4 -2,4 7 -3
kamyk M8,0 3 -3,2 3 -1,3 5 -2,4 3 +1,3 2 +1
Minny M8,6 4 +2,2 8 -6,4 5 -1,0 2 -2,6 2 +4
ComeBack M8,6 4 +2,5 3 +2,7 4 +3,5 4 +1,6 2 +4
Proxh M8,1 3 -2,4 3 +1,2 4 -2,6 2 +4,1 7 -6
