,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ,Monyet RRQ
HYUNMIN DRX,0 2 -2,3 1 +2,,0 1 -1,1 0 +1
free1ng DRX,0 2 -2,,0 1 -1,,0 3 -3
MaKo DRX,2 1 +1,0 1 -1,,,0 1 -1
Estrella DRX,,,,,0 2 -2
Flashback DRX,,,1 0 +1,,
