,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ,Monyet RRQ
HYUNMIN DRX,2 4 -2,4 1 +3,0 2 -2,0 1 -1,2 1 +1
free1ng DRX,1 2 -1,0 1 -1,0 1 -1,,0 3 -3
MaKo DRX,3 1 +2,0 1 -1,1 2 -1,0 3 -3,1 1 +0
Estrella DRX,,,,,0 2 -2
Flashback DRX,0 1 -1,,1 0 +1,,
