,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ,Monyet RRQ
HYUNMIN DRX,1 0 +1,,,1 0 +1,
free1ng DRX,0 1 -1,,,,
MaKo DRX,0 1 -1,,,,
Estrella DRX,0 3 -3,,,,
Flashback DRX,,,,,
