,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ,Monyet RRQ
HYUNMIN DRX,2 2 +0,1 0 +1,0 2 -2,,1 1 +0
free1ng DRX,1 0 +1,0 1 -1,,,
MaKo DRX,1 0 +1,,1 2 -1,0 3 -3,1 0 +1
Estrella DRX,,,,,
Flashback DRX,0 1 -1,,,,
