,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ,Monyet RRQ
HYUNMIN DRX,4 3 +1,2 2 +0,2 6 -4,2 2 +0,1 2 -1
free1ng DRX,4 3 +1,1 7 -6,4 0 +4,1 3 -2,3 4 -1
MaKo DRX,2 2 +0,2 2 +0,3 4 -1,4 5 -1,4 3 +1
Estrella DRX,1 2 -1,3 8 -5,2 2 +0,0 3 -3,2 1 +1
Flashback DRX,3 3 +0,4 4 +0,2 3 -1,3 3 +0,2 3 -1
