,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ,Monyet RRQ
HYUNMIN DRX,4 6 -2,8 2 +6,2 1 +1,2 4 -2,5 4 +1
free1ng DRX,4 4 +0,2 0 +2,1 4 -3,2 5 -3,3 3 +0
MaKo DRX,2 3 -1,1 1 +0,5 2 +3,3 4 -1,2 7 -5
Estrella DRX,2 3 -1,0 5 -5,1 2 -1,0 1 -1,2 7 -5
Flashback DRX,2 2 +0,4 2 +2,5 2 +3,4 5 -1,3 3 +0
