,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,3 Round 3 Monyet Jemkin Round 10 Kushy Jemkin Round 11 Jemkin xffero,,,,,,,,,53,1,1
MaKo DRX,,4 Round 3 xffero crazyguy Round 11 Monyet crazyguy Round 15 Kushy crazyguy Round 20 crazyguy Monyet,,,,1 Round 11 crazyguy,,,,,40,1,0
Estrella DRX,,1 Round 13 Monyet Jemkin,,,,,,,,,24,7,0
HYUNMIN DRX,,4 Round 10 xffero Monyet Round 15 Monyet Jemkin Round 19 Kushy Jemkin Round 21 Jemkin Kushy,2 Round 9 Monyet crazyguy Kushy Round 17 xffero Monyet crazyguy,,,,,1 Round 17 crazyguy xffero Monyet,,,67,0,1
Flashback DRX,,4 Round 7 crazyguy Kushy Round 17 Jemkin Kushy Round 19 Monyet xffero Round 22 crazyguy Monyet,2 Round 1 xffero crazyguy Jemkin Round 5 Kushy crazyguy xffero Flashback,,,1 Round 5 xffero,,,,,62,0,1
crazyguy RRQ,,2 Round 11 Flashback free1ng Round 19 Flashback HYUNMIN,,,,,1 Round 19 HYUNMIN Flashback,,,,41,1,1
Kushy RRQ,,2 Round 5 HYUNMIN Estrella Round 13 HYUNMIN Estrella,,,,,,,,,34,5,0
xffero RRQ,,4 Round 5 MaKo free1ng Round 9 Flashback HYUNMIN Round 20 MaKo free1ng Round 22 free1ng HYUNMIN,2 Round 7 Estrella Flashback free1ng Round 8 HYUNMIN MaKo free1ng,,,3 Round 7 free1ng Round 20 free1ng Round 22 HYUNMIN,,,,,53,4,1
Monyet RRQ,,5 Round 7 MaKo HYUNMIN Round 12 HYUNMIN MaKo Round 15 Estrella Flashback Round 16 free1ng Estrella Round 19 Estrella MaKo,2 Round 4 HYUNMIN Flashback Estrella Round 17 Estrella Flashback MaKo,,,,,,,,70,0,0
Jemkin RRQ,,3 Round 1 MaKo HYUNMIN Round 13 MaKo Flashback Round 20 HYUNMIN Flashback,1 Round 2 Estrella HYUNMIN free1ng,,,,,,,,50,0,1
