,Jemkin RRQ,Kushy RRQ,crazyguy RRQ,xffero RRQ,Monyet RRQ
HYUNMIN DRX,8 9 -1,10 4 +6,4 7 -3,4 6 -2,6 6 +0
free1ng DRX,8 7 +1,3 7 -4,5 4 +1,3 8 -5,6 7 -1
MaKo DRX,4 5 -1,3 3 +0,8 6 +2,7 9 -2,6 10 -4
Estrella DRX,3 5 -2,3 13 -10,3 4 -1,0 4 -4,4 8 -4
Flashback DRX,5 5 +0,8 6 +2,7 5 +2,7 8 -1,5 6 -1
