,jawgemo G2,valyn G2,trent G2,JonahP G2,leaf G2
ZmjjKK EDG,2 3 -1,5 2 +3,3 2 +1,4 5 -1,2 6 -4
S1Mon EDG,3 3 +0,2 1 +1,0 3 -3,3 3 +0,2 4 -2
nobody EDG,2 7 -5,2 4 -2,1 3 -2,1 0 +1,3 2 +1
CHICHOO EDG,1 5 -4,3 4 -1,4 1 +3,3 2 +1,3 3 +0
Smoggy EDG,3 3 +0,0 3 -3,3 4 -1,2 3 -1,1 2 -1
