,jawgemo G2,valyn G2,trent G2,JonahP G2,leaf G2
ZmjjKK EDG,4 7 -3,8 4 +4,6 6 +0,9 7 +2,4 10 -6
S1Mon EDG,5 6 -1,2 5 -3,1 5 -4,5 9 -4,3 6 -3
nobody EDG,5 9 -4,3 5 -2,4 7 -3,4 3 +1,7 5 +2
CHICHOO EDG,6 10 -4,7 5 +2,4 6 -2,6 7 -1,6 4 +2
Smoggy EDG,7 5 +2,5 8 -3,8 6 +2,5 7 -2,4 5 -1
