,jawgemo G2,valyn G2,trent G2,JonahP G2,leaf G2
ZmjjKK EDG,2 4 -2,3 2 +1,3 4 -1,5 2 +3,2 4 -2
S1Mon EDG,2 3 -1,0 4 -4,1 2 -1,2 6 -4,1 2 -1
nobody EDG,3 2 +1,1 1 +0,3 4 -1,3 3 +0,4 3 +1
CHICHOO EDG,5 5 +0,4 1 +3,0 5 -5,3 5 -2,3 1 +2
Smoggy EDG,4 2 +2,5 5 +0,5 2 +3,3 4 -1,3 3 +0
