,jawgemo G2,valyn G2,trent G2,JonahP G2,leaf G2
ZmjjKK EDG,0 3 -3,2 1 +1,0 1 -1,0 2 -2,0 1 -1
S1Mon EDG,,,,,
nobody EDG,0 1 -1,,1 0 +1,,2 0 +2
CHICHOO EDG,2 0 +2,0 1 -1,,0 1 -1,
Smoggy EDG,1 0 +1,,,0 1 -1,1 0 +1
