,jawgemo G2,valyn G2,trent G2,JonahP G2,leaf G2
ZmjjKK EDG,1 4 -3,3 2 +1,1 1 +0,0 3 -3,0 3 -3
S1Mon EDG,0 1 -1,,,1 1 +0,0 1 -1
nobody EDG,0 2 -2,1 0 +1,1 0 +1,,3 1 +2
CHICHOO EDG,2 0 +2,0 1 -1,,0 1 -1,
Smoggy EDG,2 0 +2,,0 1 -1,1 2 -1,1 0 +1
