,jawgemo G2,valyn G2,trent G2,JonahP G2,leaf G2
ZmjjKK EDG,,,,,0 1 -1
S1Mon EDG,,,,,
nobody EDG,0 2 -2,,,,
CHICHOO EDG,0 1 -1,,,,
Smoggy EDG,0 2 -2,,,,
