,jawgemo G2,valyn G2,trent G2,JonahP G2,leaf G2
ZmjjKK EDG,1 1 +0,1 1 +0,1 0 +1,0 1 -1,0 2 -2
S1Mon EDG,0 1 -1,,,1 1 +0,0 1 -1
nobody EDG,0 1 -1,1 0 +1,,,1 1 +0
CHICHOO EDG,,,,,
Smoggy EDG,1 0 +1,,0 1 -1,1 1 +0,
