,Verno MIBR,xenom MIBR,aspas MIBR,artzin MIBR,cortezia MIBR
brawk NRG,,0 1 -1,,,
FiNESSE NRG,,,0 1 -1,1 0 +1,
Ethan NRG,,0 1 -1,3 1 +2,1 0 +1,
mada NRG,,1 1 +0,1 0 +1,1 0 +1,1 0 +1
s0m NRG,,,0 3 -3,0 1 -1,1 0 +1
