,Verno MIBR,xenom MIBR,aspas MIBR,artzin MIBR,cortezia MIBR
brawk NRG,,,0 1 -1,,
FiNESSE NRG,,,0 2 -2,,
Ethan NRG,,,0 1 -1,,
mada NRG,,,0 3 -3,,
s0m NRG,,,0 2 -2,1 0 +1,
