,Verno MIBR,xenom MIBR,aspas MIBR,artzin MIBR,cortezia MIBR
brawk NRG,2 3 -1,1 4 -3,2 4 -2,2 1 +1,2 3 -1
FiNESSE NRG,3 2 +1,2 3 -1,2 5 -3,1 0 +1,3 2 +1
Ethan NRG,2 6 -4,4 3 +1,4 5 -1,5 0 +5,4 2 +2
mada NRG,1 4 -3,3 3 +0,1 4 -3,2 2 +0,2 3 -1
s0m NRG,3 1 +2,2 3 -1,2 5 -3,2 2 +0,4 5 -1
