,Verno MIBR,xenom MIBR,aspas MIBR,artzin MIBR,cortezia MIBR
brawk NRG,,,,,
FiNESSE NRG,,,0 1 -1,1 0 +1,
Ethan NRG,,1 0 +1,0 1 -1,1 0 +1,
mada NRG,1 1 +0,1 0 +1,0 3 -3,0 1 -1,1 1 +0
s0m NRG,0 1 -1,,,0 1 -1,1 1 +0
