,Verno MIBR,xenom MIBR,aspas MIBR,artzin MIBR,cortezia MIBR
brawk NRG,0 4 -4,3 4 -1,2 3 -1,3 3 +0,2 2 +0
FiNESSE NRG,1 5 -4,1 2 -1,1 5 -4,3 1 +2,1 3 -2
Ethan NRG,2 5 -3,2 1 +1,5 2 +3,1 2 -1,3 2 +1
mada NRG,1 4 -3,6 2 +4,3 2 +1,6 2 +4,2 1 +1
s0m NRG,3 4 -1,2 2 +0,1 4 -3,0 3 -3,2 2 +0
