,Verno MIBR,xenom MIBR,aspas MIBR,artzin MIBR,cortezia MIBR
brawk NRG,,0 1 -1,,,
FiNESSE NRG,,,0 2 -2,2 0 +2,
Ethan NRG,,1 1 +0,3 2 +1,2 0 +2,
mada NRG,1 1 +0,2 1 +1,1 3 -2,1 1 +0,2 1 +1
s0m NRG,0 1 -1,,0 3 -3,0 2 -2,2 1 +1
