,purp0 GX,Cloud GX,tomaszy GX,westside GX,runneR GX
Sayf VIT,0 1 -1,,,1 0 +1,
CyvOph VIT,,,1 0 +1,,1 0 +1
Kicks VIT,,1 0 +1,,1 0 +1,
Less VIT,1 0 +1,,,,2 0 +2
Derke VIT,1 0 +1,1 0 +1,2 0 +2,,2 0 +2
