,purp0 GX,Cloud GX,tomaszy GX,westside GX,runneR GX
Sayf VIT,2 1 +1,,,1 0 +1,
CyvOph VIT,1 0 +1,0 1 -1,1 2 -1,,1 1 +0
Kicks VIT,0 1 -1,1 0 +1,,1 0 +1,
Less VIT,2 0 +2,,,0 1 -1,2 0 +2
Derke VIT,4 3 +1,3 1 +2,2 0 +2,2 1 +1,2 0 +2
