,purp0 GX,Cloud GX,tomaszy GX,westside GX,runneR GX
Sayf VIT,2 0 +2,,,,
CyvOph VIT,1 0 +1,0 1 -1,0 2 -2,,0 1 -1
Kicks VIT,0 1 -1,,,,
Less VIT,1 0 +1,,,0 1 -1,
Derke VIT,3 3 +0,2 1 +1,,2 1 +1,
