,iZu T1,Meteor T1,Sylvan T1,stax T1,BuZz T1
free1ng DRX,4 0 +4,6 1 +5,4 4 +0,1 6 -5,4 6 -2
HYUNMIN DRX,6 6 +0,4 2 +2,4 4 +0,6 5 +1,3 5 -2
MaKo DRX,6 3 +3,2 3 -1,4 2 +2,5 4 +1,7 5 +2
Estrella DRX,0 5 -5,4 5 -1,4 3 +1,2 3 -1,4 3 +1
BeYN DRX,4 1 +3,4 4 +0,4 3 +1,5 3 +2,2 5 -3
