,iZu T1,Meteor T1,Sylvan T1,stax T1,BuZz T1
free1ng DRX,,,1 0 +1,,0 1 -1
HYUNMIN DRX,1 0 +1,4 0 +4,,,1 0 +1
MaKo DRX,,,,,
Estrella DRX,,,,,0 1 -1
BeYN DRX,,,,,
