,iZu T1,Meteor T1,Sylvan T1,stax T1,BuZz T1
free1ng DRX,4 4 +0,2 1 +1,4 3 +1,3 7 -4,6 3 +3
HYUNMIN DRX,2 8 -6,9 5 +4,6 2 +4,4 5 -1,3 1 +2
MaKo DRX,3 5 -2,4 2 +2,3 3 +0,5 3 +2,5 2 +3
Estrella DRX,3 3 +0,3 3 +0,2 6 -4,3 2 +1,3 2 +1
BeYN DRX,4 1 +3,3 3 +0,4 4 +0,4 0 +4,2 6 -4
