,iZu T1,Meteor T1,Sylvan T1,stax T1,BuZz T1
free1ng DRX,1 0 +1,,2 1 +1,,3 3 +0
HYUNMIN DRX,3 1 +2,,,,0 1 -1
MaKo DRX,1 2 -1,1 0 +1,0 1 -1,1 0 +1,2 1 +1
Estrella DRX,,,1 0 +1,0 1 -1,
BeYN DRX,0 1 -1,,1 0 +1,,
