,iZu T1,Meteor T1,Sylvan T1,stax T1,BuZz T1
free1ng DRX,0 1 -1,0 1 -1,0 1 -1,,2 1 +1
HYUNMIN DRX,,5 2 +3,1 0 +1,0 1 -1,1 0 +1
MaKo DRX,,,,1 0 +1,1 0 +1
Estrella DRX,,1 1 +0,,,0 1 -1
BeYN DRX,,1 1 +0,0 1 -1,,1 1 +0
