,iZu T1,Meteor T1,Sylvan T1,stax T1,BuZz T1
free1ng DRX,8 4 +4,8 2 +6,8 7 +1,4 13 -9,10 9 +1
HYUNMIN DRX,8 14 -6,13 7 +6,10 6 +4,10 10 +0,6 6 +0
MaKo DRX,9 8 +1,6 5 +1,7 5 +2,10 7 +3,12 7 +5
Estrella DRX,3 8 -5,7 8 -1,6 9 -3,5 5 +0,7 5 +2
BeYN DRX,8 2 +6,7 7 +0,8 7 +1,9 3 +6,4 11 -7
