,LewN BBL,sociablEE BBL,MAGNUM BBL,PROFEK BBL,Jamppi BBL
Boo TH,3 3 +0,3 2 +1,2 3 -1,3 3 +0,0 4 -4
RieNs TH,3 4 -1,2 2 +0,3 4 -1,1 3 -2,4 4 +0
benjyfishy TH,4 2 +2,3 4 -1,3 3 +0,3 4 -1,5 5 +0
Wo0t TH,3 3 +0,4 2 +2,2 2 +0,4 4 +0,2 4 -2
MiniBoo TH,3 3 +0,4 3 +1,3 3 +0,2 7 -5,1 2 -1
