,LewN BBL,sociablEE BBL,MAGNUM BBL,PROFEK BBL,Jamppi BBL
Boo TH,2 4 -2,6 2 +4,4 5 -1,2 4 -2,2 2 +0
RieNs TH,3 7 -4,3 1 +2,5 2 +3,5 3 +2,5 3 +2
benjyfishy TH,6 5 +1,1 2 -1,2 3 -1,3 4 -1,4 3 +1
Wo0t TH,2 2 +0,4 9 -5,1 3 -2,5 2 +3,3 3 +0
MiniBoo TH,3 6 -3,3 3 +0,5 4 +1,3 2 +1,3 4 -1
