,LewN BBL,sociablEE BBL,MAGNUM BBL,PROFEK BBL,Jamppi BBL
Boo TH,1 0 +1,,,,1 0 +1
RieNs TH,0 1 -1,,0 1 -1,,1 0 +1
benjyfishy TH,2 0 +2,,,,2 0 +2
Wo0t TH,1 0 +1,0 2 -2,,1 1 +0,1 1 +0
MiniBoo TH,3 2 +1,,2 1 +1,,
