,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,4 Round 3 PROFEK sociablEE Round 7 PROFEK sociablEE Round 11 sociablEE MAGNUM Round 23 MAGNUM sociablEE,,,,1 Round 15 MAGNUM,,,,,69,2,0
RieNs TH,,6 Round 1 PROFEK MAGNUM Round 3 Jamppi MAGNUM Round 5 PROFEK Jamppi Round 8 sociablEE Jamppi Round 10 MAGNUM LewN Round 19 PROFEK Jamppi,,1 Round 22 MAGNUM PROFEK sociablEE LewN,,1 Round 5 Jamppi,,,,,68,4,2
MiniBoo TH,,1 Round 15 Jamppi sociablEE,,1 Round 16 Jamppi sociablEE MAGNUM PROFEK,,,,,,,56,0,1
Wo0t TH,,3 Round 5 MAGNUM sociablEE Round 9 PROFEK sociablEE Round 11 PROFEK Jamppi,,,,,,,,,47,0,0
benjyfishy TH,,3 Round 13 Jamppi PROFEK Round 14 PROFEK LewN Round 21 MAGNUM Jamppi,,,,,,,,,50,1,0
MAGNUM BBL,,2 Round 13 benjyfishy Boo Round 20 MiniBoo Boo,2 Round 7 MiniBoo Wo0t Boo Round 15 RieNs benjyfishy MiniBoo,,,,,,,,48,1,0
PROFEK BBL,,4 Round 7 RieNs benjyfishy Round 14 Boo MiniBoo Round 19 Wo0t benjyfishy Round 22 MiniBoo Boo,,,,,,,,,39,0,0
sociablEE BBL,,6 Round 1 Wo0t Boo Round 8 Wo0t benjyfishy Round 13 Wo0t MiniBoo Round 14 Wo0t benjyfishy Round 18 MiniBoo Wo0t Round 24 MiniBoo Wo0t,,,,1 Round 13 MiniBoo,1 Round 14 Wo0t benjyfishy,,,,44,1,2
Jamppi BBL,,3 Round 1 benjyfishy RieNs Round 5 benjyfishy Wo0t Round 6 MiniBoo RieNs,1 Round 17 benjyfishy Wo0t Boo,,,,,,,,42,6,0
LewN BBL,,6 Round 2 Wo0t MiniBoo Round 3 MiniBoo RieNs Round 4 MiniBoo Boo Round 6 benjyfishy Boo Round 19 MiniBoo RieNs Round 24 RieNs benjyfishy,1 Round 12 Boo benjyfishy RieNs,,,,,,,,65,1,0
