,LewN BBL,sociablEE BBL,MAGNUM BBL,PROFEK BBL,Jamppi BBL
Boo TH,2 0 +2,,,,1 0 +1
RieNs TH,0 1 -1,,0 1 -1,,1 0 +1
benjyfishy TH,2 1 +1,,1 0 +1,,2 1 +1
Wo0t TH,2 0 +2,0 3 -3,,2 2 +0,1 1 +0
MiniBoo TH,5 3 +2,2 1 +1,5 1 +4,0 1 -1,0 1 -1
