,LewN BBL,sociablEE BBL,MAGNUM BBL,PROFEK BBL,Jamppi BBL
Boo TH,5 7 -2,9 4 +5,6 8 -2,5 7 -2,2 6 -4
RieNs TH,6 11 -5,5 3 +2,8 6 +2,6 6 +0,9 7 +2
benjyfishy TH,10 7 +3,4 6 -2,5 6 -1,6 8 -2,9 8 +1
Wo0t TH,5 5 +0,8 11 -3,3 5 -2,9 6 +3,5 7 -2
MiniBoo TH,6 9 -3,7 6 +1,8 7 +1,5 9 -4,4 6 -2
