,yay EG,supamen EG,icy EG,Derrek EG,NaturE EG
OXY C9,1 3 -2,,,,1 0 +1
Xeppaa C9,0 2 -2,,,,
mitch C9,0 1 -1,,1 0 +1,,
v1c C9,0 1 -1,,,,
neT C9,0 3 -3,,,,
