,yay EG,supamen EG,icy EG,Derrek EG,NaturE EG
OXY C9,,,0 1 -1,,
Xeppaa C9,,,0 1 -1,,
mitch C9,,,0 2 -2,,
v1c C9,,,0 1 -1,,
neT C9,,,,,
