,yay EG,supamen EG,icy EG,Derrek EG,NaturE EG
OXY C9,10 12 -2,7 6 +1,9 11 -2,5 12 -7,9 5 +4
Xeppaa C9,8 12 -4,9 5 +4,3 11 -8,5 3 +2,3 5 -2
mitch C9,2 8 -6,9 4 +5,8 10 -2,5 3 +2,11 6 +5
v1c C9,7 10 -3,4 6 -2,9 11 -2,8 7 +1,6 3 +3
neT C9,8 11 -3,3 11 -8,6 8 -2,5 6 -1,5 7 -2
