,yay EG,supamen EG,icy EG,Derrek EG,NaturE EG
OXY C9,4 6 -2,3 4 -1,4 5 -1,3 4 -1,1 1 +0
Xeppaa C9,3 8 -5,4 1 +3,1 6 -5,0 1 -1,1 1 +0
mitch C9,1 3 -2,3 2 +1,2 7 -5,1 0 +1,3 3 +0
v1c C9,4 6 -2,1 4 -3,7 3 +4,4 2 +2,5 1 +4
neT C9,5 3 +2,2 5 -3,3 2 +1,3 5 -2,2 4 -2
