,yay EG,supamen EG,icy EG,Derrek EG,NaturE EG
OXY C9,6 6 +0,4 2 +2,5 6 -1,2 8 -6,8 4 +4
Xeppaa C9,5 4 +1,5 4 +1,2 5 -3,5 2 +3,2 4 -2
mitch C9,1 5 -4,6 2 +4,6 3 +3,4 3 +1,8 3 +5
v1c C9,3 4 -1,3 2 +1,2 8 -6,4 5 -1,1 2 -1
neT C9,3 8 -5,1 6 -5,3 6 -3,2 1 +1,3 3 +0
