,yay EG,supamen EG,icy EG,Derrek EG,NaturE EG
OXY C9,1 2 -1,,2 1 +1,,4 3 +1
Xeppaa C9,2 1 +1,,,,
mitch C9,0 3 -3,,,,1 1 +0
v1c C9,1 1 +0,,0 1 -1,,
neT C9,0 1 -1,,2 1 +1,,
