,Juicy WOL,Yuicaw WOL,SiuFatBB WOL,Spring WOL,Lysoar WOL
Jemkin RRQ,3 6 -3,6 1 +5,2 2 +0,4 6 -2,4 2 +2
Monyet RRQ,3 3 +0,1 2 -1,3 1 +2,7 4 +3,3 3 +0
xffero RRQ,3 5 -2,0 1 -1,5 3 +2,3 2 +1,3 3 +0
Kushy RRQ,2 2 +0,2 1 +1,1 2 -1,2 4 -2,3 6 -3
crazyguy RRQ,3 7 -4,4 5 -1,1 0 +1,1 1 +0,0 4 -4
